date,holiday
2001-01-01,Confraternização Universal
2001-01-25,aniversário de sp
2001-02-26,Carnaval
2001-02-27,Carnaval
2001-04-13,Paixão de Cristo
2001-04-21,Tiradentes
2001-05-01,Dia do Trabalho
2001-06-14,Corpus Christi
2001-07-09,revolução constitucionalista
2001-09-07,Independência do Brasil
2001-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2001-11-02,Finados
2001-11-15,Proclamação da República
2001-11-20,consciencia negra
2001-12-24,véspera de natal
2001-12-25,Natal
2001-12-31,vespera ano novo
2002-01-01,Confraternização Universal
2002-01-25,aniversário de sp
2002-02-11,Carnaval
2002-02-12,Carnaval
2002-03-29,Paixão de Cristo
2002-04-21,Tiradentes
2002-05-01,Dia do Trabalho
2002-05-30,Corpus Christi
2002-07-09,revolução constitucionalista
2002-09-07,Independência do Brasil
2002-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2002-11-02,Finados
2002-11-15,Proclamação da República
2002-11-20,consciencia negra
2002-12-24,véspera de natal
2002-12-25,Natal
2002-12-31,vespera ano novo
2003-01-01,Confraternização Universal
2003-01-25,aniversário de sp
2003-03-03,Carnaval
2003-03-04,Carnaval
2003-04-18,Paixão de Cristo
2003-04-21,Tiradentes
2003-05-01,Dia do Trabalho
2003-06-19,Corpus Christi
2003-07-09,revolução constitucionalista
2003-09-07,Independência do Brasil
2003-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2003-11-02,Finados
2003-11-15,Proclamação da República
2003-11-20,consciencia negra
2003-12-24,véspera de natal
2003-12-25,Natal
2003-12-31,vespera ano novo
2004-01-01,Confraternização Universal
2004-01-25,aniversário de sp
2004-02-23,Carnaval
2004-02-24,Carnaval
2004-04-09,Paixão de Cristo
2004-04-21,Tiradentes
2004-05-01,Dia do Trabalho
2004-06-10,Corpus Christi
2004-07-09,revolução constitucionalista
2004-09-07,Independência do Brasil
2004-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2004-11-02,Finados
2004-11-15,Proclamação da República
2004-11-20,consciencia negra
2004-12-24,véspera de natal
2004-12-25,Natal
2004-12-31,vespera ano novo
2005-01-01,Confraternização Universal
2005-01-25,aniversário de sp
2005-02-07,Carnaval
2005-02-08,Carnaval
2005-03-25,Paixão de Cristo
2005-04-21,Tiradentes
2005-05-01,Dia do Trabalho
2005-05-26,Corpus Christi
2005-07-09,revolução constitucionalista
2005-09-07,Independência do Brasil
2005-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2005-11-02,Finados
2005-11-15,Proclamação da República
2005-11-20,consciencia negra
2005-12-24,véspera de natal
2005-12-25,Natal
2005-12-31,vespera ano novo
2006-01-01,Confraternização Universal
2006-01-25,aniversário de sp
